Country Name,Country Code,2017
Aruba,ABW,105264
Afghanistan,AFG,35530081
Angola,AGO,29784193
Albanie,ALB,2873457
Andorre,AND,76965
Le monde arabe,ARB,414491886
Émirats arabes unis,ARE,9400145
Argentine,ARG,44271041
Arménie,ARM,2930450
Samoa américaines,ASM,55641
Antigua-et-Barbuda,ATG,102012
Australie,AUS,24598933
Autriche,AUT,8809212
Azerbaïdjan,AZE,9862429
Burundi,BDI,10864245
Belgique,BEL,11372068
Bénin,BEN,11175692
Burkina Faso,BFA,19193382
Bangladesh,BGD,164669751
Bulgarie,BGR,7075991
Bahreïn,BHR,1492584
Bahamas,BHS,395361
Bosnie-Herzégovine,BIH,3507017
Bélarus,BLR,9507875
Belize,BLZ,374681
Bermudes,BMU,65441
Bolivie,BOL,11051600
Brésil,BRA,209288278
Barbade,BRB,285719
Brunéi Darussalam,BRN,428697
Bhoutan,BTN,807610
Botswana,BWA,2291661
République centrafricaine,CAF,4659080
Canada,CAN,36708083
Europe centrale et les pays baltes,CEB,102727102
Suisse,CHE,8466017
Îles Anglo-Normandes,CHI,165314
Chili,CHL,18054726
Chine,CHN,1386395000
Côte d'Ivoire,CIV,24294750
Cameroun,CMR,24053727
"Congo, République démocratique du",COD,81339988
"Congo, République du",COG,5260750
Colombie,COL,49065615
Comores,COM,813912
Cabo Verde,CPV,546388
Costa Rica,CRI,4905769
Petits états des Caraïbes,CSS,7284294
Cuba,CUB,11484636
Curacao,CUW,161014
Îles Caïmans,CYM,61559
Chypre,CYP,1179551
République tchèque,CZE,10591323
Allemagne,DEU,82695000
Djibouti,DJI,956985
Dominique,DMA,73925
Danemark,DNK,5769603
République dominicaine,DOM,10766998
Algérie,DZA,41318142
Asie de l’Est et Pacifique (hors revenu élevé),EAP,2068308373
de dividende précoce démographique,EAR,3213426923
Asie de l’Est et Pacifique,EAS,2314364990
Europe et Asie centrale (hors revenu élevé),ECA,415546194
Europe et Asie centrale,ECS,915545801
Équateur,ECU,16624858
"Égypte, République arabe d’",EGY,97553151
Zone euro,EMU,341465149
Érythrée,ERI,
Espagne,ESP,46572028
Estonie,EST,1315480
Éthiopie,ETH,104957438
Union européenne,EUU,512461290
Fragile et les situations de conflit touchées,FCS,511336623
Finlande,FIN,5511303
Fidji,FJI,905502
France,FRA,67118648
Îles Féroé,FRO,49290
"Micronésie, États fédérés de",FSM,105544
Gabon,GAB,2025137
Royaume-Uni,GBR,66022273
Géorgie,GEO,3717100
Ghana,GHA,28833629
Gibraltar,GIB,34571
Guinée,GIN,12717176
Gambie,GMB,2100568
Guinée-Bissau,GNB,1861283
Guinée équatoriale,GNQ,1267689
Grèce,GRC,10760421
Grenade,GRD,107825
Groenland,GRL,56171
Guatemala,GTM,16913503
Guam,GUM,164229
Guyane,GUY,777859
Revenu élevé,HIC,1249066228
"Chine, RAS de Hong Kong",HKG,7391700
Honduras,HND,9265067
Pays pauvres très endettés (PPTE),HPC,765112280
Croatie,HRV,4125700
Haïti,HTI,10981229
Hongrie,HUN,9781127
BIRD seulement,IBD,4743263932
BIRD et IDA,IBT,6353204601
IDA totale,IDA,1609940669
IDA mélange,IDB,533023458
Indonésie,IDN,263991379
IDA seulement,IDX,1076917211
Île de Man,IMN,84287
Inde,IND,1339180127
Non classifié,INX,
Irlande,IRL,4813608
"Iran, République islamique d’",IRN,81162788
Iraq,IRQ,38274618
Islande,ISL,341284
Israël,ISR,8712400
Italie,ITA,60551416
Jamaïque,JAM,2890299
Jordanie,JOR,9702353
Japon,JPN,126785797
Kazakhstan,KAZ,18037646
Kenya,KEN,49699862
République kirghize,KGZ,6201500
Cambodge,KHM,16005373
Kiribati,KIR,116398
Saint-Kitts-et-Nevis,KNA,55345
"Corée, République de",KOR,51466201
Koweït,KWT,4136528
Amérique latine et Caraïbes (hors revenu élevé),LAC,568136842
République démocratique populaire lao,LAO,6858160
Liban,LBN,6082357
Libéria,LBR,4731906
Libye,LBY,6374616
Sainte-Lucie,LCA,178844
Amérique latine et Caraïbes,LCN,644137666
Pays les moins avancés : classement de l’ONU,LDC,1002485957
Faible revenu,LIC,732448558
Liechtenstein,LIE,37922
Sri Lanka,LKA,21444000
"Revenu intermédiaire, tranche inférieure",LMC,2972642807
Revenu faible et intermédiaire,LMY,6281293921
Lesotho,LSO,2233339
de dividende tardif démographique,LTE,2278227192
Lituanie,LTU,2827721
Luxembourg,LUX,599449
Lettonie,LVA,1940740
"Région administrative spéciale de Macao, Chine",MAC,622567
Saint-Martin (fr),MAF,32125
Maroc,MAR,35739580
Monaco,MCO,38695
Moldova,MDA,3549750
Madagascar,MDG,25570895
Maldives,MDV,436330
Afrique du Nord et Moyen-Orient,MEA,444322417
Mexique,MEX,129163276
Îles Marshall,MHL,53127
